# time	x	y	stress_xx	strain_xx
0.2921944558	0.1380535726	0.0000004013	46.7533556521	-2.4369294594
0.2931431391	0.1380535703	0.0000003714	36.5452845406	-2.4369919766
0.2940918224	0.1380535682	0.0000003437	26.5130438831	-2.4370146708
0.2950405057	0.1380535663	0.0000003180	16.6604602083	-2.4369992888
0.2959891890	0.1380535644	0.0000002942	6.9894181864	-2.4369475588
0.2969378723	0.1380535627	0.0000002722	-2.4997723162	-2.4368611650
0.2978865556	0.1380535611	0.0000002518	-11.8079733274	-2.4367417283
0.2988352389	0.1380535596	0.0000002329	-20.9368294983	-2.4365907924
0.2997839222	0.1380535582	0.0000002153	-29.8884264111	-2.4364098165
0.3007326055	0.1380535569	0.0000001991	-38.6650140582	-2.4362001713
0.3016812888	0.1380535557	0.0000001841	-47.2687994481	-2.4359631400
0.3026299721	0.1380535545	0.0000001702	-55.7018029717	-2.4356999209
0.3035786554	0.1380535535	0.0000001573	-63.9657681939	-2.4354116319
0.3045273387	0.1380535525	0.0000001454	-72.0621129862	-2.4350993165
0.3054760220	0.1380535516	0.0000001343	-79.9919108059	-2.4347639493
0.3064247053	0.1380535507	0.0000001241	-87.7558922900	-2.4344064428
0.3073733886	0.1380535499	0.0000001147	-95.3544597904	-2.4340276530
0.3083220719	0.1380535491	0.0000001059	-102.7877092526	-2.4336283853
0.3092707552	0.1380535485	0.0000000979	-110.0554557682	-2.4332093997
0.3102194385	0.1380535478	0.0000000904	-117.1572602587	-2.4327714156
0.3111681218	0.1380535472	0.0000000835	-124.0924557969	-2.4323151162
0.3121168051	0.1380535467	0.0000000771	-130.8601728538	-2.4318411524
0.3130654884	0.1380535461	0.0000000712	-137.4593630044	-2.4313501463
0.3140141717	0.1380535457	0.0000000657	-143.8888208924	-2.4308426944
0.3149628550	0.1380535452	0.0000000607	-150.1472047604	-2.4303193705
0.3159115383	0.1380535448	0.0000000560	-156.2330552838	-2.4297807279
0.3168602215	0.1380535444	0.0000000517	-162.1448132920	-2.4292273021
0.3178089048	0.1380535440	0.0000000477	-167.8808360350	-2.4286596124
0.3187575881	0.1380535437	0.0000000440	-173.4394128015	-2.4280781639
0.3197062714	0.1380535434	0.0000000406	-178.8187791548	-2.4274834490
0.3206549547	0.1380535431	0.0000000375	-184.0171308008	-2.4268759492
0.3216036380	0.1380535428	0.0000000346	-189.0326366179	-2.4262561359
0.3225523213	0.1380535426	0.0000000319	-193.8634510212	-2.4256244717
0.3235010046	0.1380535424	0.0000000294	-198.5077259442	-2.4249814119
0.3244496879	0.1380535421	0.0000000272	-202.9636222094	-2.4243274049
0.3253983712	0.1380535419	0.0000000251	-207.2293206486	-2.4236628934
0.3263470545	0.1380535418	0.0000000231	-211.3030326016	-2.4229883152
0.3272957378	0.1380535416	0.0000000213	-215.1830104044	-2.4223041036
0.3282444211	0.1380535414	0.0000000197	-218.8675571149	-2.4216106886
0.3291931044	0.1380535413	0.0000000181	-222.3550363247	-2.4209084969
0.3301417877	0.1380535411	0.0000000167	-225.6438816511	-2.4201979531
0.3310904710	0.1380535410	0.0000000154	-228.7326055236	-2.4194794796
0.3320391543	0.1380535409	0.0000000142	-231.6198082319	-2.4187534974
0.3329878376	0.1380535408	0.0000000131	-234.3041865037	-2.4180204265
0.3339365209	0.1380535407	0.0000000121	-236.7845417416	-2.4172806863
0.3348852042	0.1380535406	0.0000000111	-239.0597879109	-2.4165346957
0.3358338875	0.1380535405	0.0000000103	-241.1289595854	-2.4157828739
0.3367825708	0.1380535404	0.0000000095	-242.9912191196	-2.4150256402
0.3377312541	0.1380535404	0.0000000087	-244.6458643711	-2.4142634146
0.3386799374	0.1380535403	0.0000000081	-246.0923348375	-2.4134966181
0.3396286207	0.1380535402	0.0000000074	-247.3302189749	-2.4127256725
0.3405773040	0.1380535402	0.0000000068	-248.3592598504	-2.4119510011
0.3415259873	0.1380535401	0.0000000063	-249.1793615932	-2.4111730284
0.3424746706	0.1380535401	0.0000000058	-249.7905947369	-2.4103921809
0.3434233539	0.1380535400	0.0000000054	-250.1932013156	-2.4096088865
0.3443720372	0.1380535400	0.0000000049	-250.3876000773	-2.4088235751
0.3453207205	0.1380535399	0.0000000046	-250.3743903871	-2.4080366785
0.3462694038	0.1380535399	0.0000000042	-250.1543570374	-2.4072486308
0.3472180871	0.1380535399	0.0000000039	-249.7284724611	-2.4064598679
0.3481667704	0.1380535398	0.0000000036	-249.0979020115	-2.4056708280
0.3491154537	0.1380535398	0.0000000033	-248.2640039962	-2.4048819514
0.3500641370	0.1380535398	0.0000000030	-247.2283343850	-2.4040936806
0.3510128203	0.1380535398	0.0000000028	-245.9926470381	-2.4033064602
0.3519615036	0.1380535397	0.0000000026	-244.5588945851	-2.4025207370
0.3529101869	0.1380535397	0.0000000024	-113.8896911546	-2.4019971551
0.3538588702	0.1380535397	0.0000000022	71.5479120930	-2.4020748408
0.3548075535	0.1380535397	0.0000000021	272.8939137764	-2.4029705304
0.3557562368	0.1380535396	0.0000000019	477.6953314378	-2.4047677946
0.3567049201	0.1380535396	0.0000000018	675.3109940639	-2.4074425021
0.3576536034	0.1380535396	0.0000000017	860.9957943379	-2.4109282586
