# time	stress	strain
35.5192307692	-0.1971218676	-0.0019712187
35.5384615385	-0.2053514702	-0.0020535147
35.5576923077	-0.2135408773	-0.0021354088
35.5769230769	-0.2216887706	-0.0022168877
35.5961538462	-0.2297939213	-0.0022979392
35.6153846154	-0.2378551891	-0.0023785519
35.6346153846	-0.2458715213	-0.0024587152
35.6538461538	-0.2538419504	-0.0025384195
35.6730769231	-0.2617655913	-0.0026176559
35.6923076923	-0.2696416377	-0.0026964164
35.7115384615	-0.2774693580	-0.0027746936
35.7307692308	-0.2852480901	-0.0028524809
35.7500000000	-0.2929772363	-0.0029297724
35.7692307692	-0.3006562573	-0.0030065626
35.7884615385	-0.3082846657	-0.0030828467
35.8076923077	-0.3158620194	-0.0031586202
35.8269230769	-0.3233879149	-0.0032338791
35.8461538462	-0.3308619794	-0.0033086198
35.8653846154	-0.3382838640	-0.0033828386
35.8846153846	-0.3456532362	-0.0034565324
35.9038461538	-0.3529697724	-0.0035296977
35.9230769231	-0.3602331506	-0.0036023315
35.9423076923	-0.3674430432	-0.0036744304
35.9615384615	-0.3745991105	-0.0037459911
35.9807692308	-0.3817009936	-0.0038170099
36.0000000000	-0.3887483085	-0.0038874831
