# time	stress	strain
4.0300000000	0.1191857637	0.0030190107
4.0400000000	0.1577480817	0.0039958056
4.0500000000	0.1956838577	0.0049567300
4.0600000000	0.2328417431	0.0058979503
4.0700000000	0.2690732317	0.0068157046
4.0800000000	0.3042332745	0.0077063189
4.0900000000	0.3381808846	0.0085662219
4.1000000000	0.3707797287	0.0093919602
4.1100000000	0.4018987023	0.0101802131
4.1200000000	0.4314124859	0.0109278059
4.1300000000	0.4592020794	0.0116317246
4.1400000000	0.4851553120	0.0122891276
4.1500000000	0.5091673250	0.0128973590
4.1600000000	0.5311410241	0.0134539593
4.1700000000	0.5509875003	0.0139566764
4.1800000000	0.5686264155	0.0144034754
4.1900000000	0.5839863526	0.0147925471
4.2000000000	0.5970051254	0.0151223165
4.2100000000	0.6076300502	0.0153914490
4.2200000000	0.6158181741	0.0155988566
4.2300000000	0.6215364611	0.0157437025
4.2400000000	0.6247619340	0.0158254047
4.2500000000	0.6254817718	0.0158436384
4.2600000000	0.6236933617	0.0157983374
4.2700000000	0.6194043053	0.0156896943
4.2800000000	0.6126323802	0.0155181595
4.2900000000	0.6034054559	0.0152844388
4.3000000000	0.5917613651	0.0149894905
4.3100000000	0.5777477318	0.0146345210
4.3200000000	0.5614217561	0.0142209792
4.3300000000	0.5428499582	0.0137505501
4.3400000000	0.5221078820	0.0132251471
4.3500000000	0.4992797613	0.0126469041
4.3600000000	0.4744581490	0.0120181653
4.3700000000	0.4477435126	0.0113414757
4.3800000000	0.4192437977	0.0106195695
4.3900000000	0.3890739623	0.0098553586
4.4000000000	0.3573554833	0.0090519201
4.4100000000	0.3242158395	0.0082124832
4.4200000000	0.2897879721	0.0073404151
4.4300000000	0.2542097262	0.0064392076
4.4400000000	0.2176232761	0.0055124620
4.4500000000	0.1801745371	0.0045638743
4.4600000000	0.1420125658	0.0035972203
4.4700000000	0.1032889531	0.0026163397
4.4800000000	0.0641572107	0.0016251211
4.4900000000	0.0247721556	0.0006274860
4.5000000000	-0.0147107060	-0.0003726265
4.5100000000	-0.0541357929	-0.0013712757
4.5200000000	-0.0933480580	-0.0023645339
4.5300000000	-0.1321935912	-0.0033485028
4.5400000000	-0.1705202121	-0.0043193274
4.5500000000	-0.2081780529	-0.0052732117
4.5600000000	-0.2450201269	-0.0062064323
4.5700000000	-0.2809028827	-0.0071153531
4.5800000000	-0.3156867409	-0.0079964386
4.5900000000	-0.3492366133	-0.0088462668
4.6000000000	-0.3814224008	-0.0096615423
4.6100000000	-0.4121194711	-0.0104391082
4.6200000000	-0.4412091130	-0.0111759574
4.6300000000	-0.4685789663	-0.0118692439
4.6400000000	-0.4941234277	-0.0125162926
4.6500000000	-0.5177440299	-0.0131146095
4.6600000000	-0.5393497933	-0.0136618899
4.6700000000	-0.5588575509	-0.0141560271
4.6800000000	-0.5761922437	-0.0145951200
4.6900000000	-0.5912871869	-0.0149774794
4.7000000000	-0.6040843065	-0.0153016342
4.7100000000	-0.6145343457	-0.0155663368
4.7200000000	-0.6225970392	-0.0157705672
4.7300000000	-0.6282412579	-0.0159135370
4.7400000000	-0.6314451203	-0.0159946917
4.7500000000	-0.6321960732	-0.0160137136
4.7600000000	-0.6304909397	-0.0159705221
4.7700000000	-0.6263359347	-0.0158652746
4.7800000000	-0.6197466488	-0.0156983660
4.7900000000	-0.6107479984	-0.0154704275
4.8000000000	-0.5993741446	-0.0151823244
4.8100000000	-0.5856683791	-0.0148351533
4.8200000000	-0.5696829779	-0.0144302384
4.8300000000	-0.5514790230	-0.0139691268
4.8400000000	-0.5311261923	-0.0134535836
4.8500000000	-0.5087025182	-0.0128855853
4.8600000000	-0.4842941153	-0.0122673132
4.8700000000	-0.4579948776	-0.0116011458
