# step	 time	 x_p_n	 v_p_n	 N0	 N1	 mass_n0	 mass_n1	 mv_n0	 mv_n1	 f_total0	 f_total1	 mv_n0_after	 mv_n1_after	 a_grid	 v_pic	 x_p_np1	 v_p_np1
88	0.8800000000	0.4954412940	0.0578612369	0.5045587060	0.4954412940	0.5045587060	0.4954412940	0.0000000000	0.0286668461	-0.3609099593	0.3609099593	0.0000000000	0.0322759457	0.0000000000	0.0322759457	0.4957640535	0.0614703365
89	0.8900000000	0.4957640535	0.0614703365	0.5042359465	0.4957640535	0.5042359465	0.4957640535	0.0000000000	0.0304747832	-0.3351914075	0.3351914075	0.0000000000	0.0338266972	0.0000000000	0.0338266972	0.4961023204	0.0648222505
90	0.9000000000	0.4961023204	0.0648222505	0.5038976796	0.4961023204	0.5038976796	0.4961023204	0.0000000000	0.0321584689	-0.3082547131	0.3082547131	0.0000000000	0.0352410160	0.0000000000	0.0352410160	0.4964547306	0.0679047977
91	0.9100000000	0.4964547306	0.0679047977	0.5035452694	0.4964547306	0.5035452694	0.4964547306	0.0000000000	0.0337116580	-0.2802109106	0.2802109106	0.0000000000	0.0365137671	0.0000000000	0.0365137671	0.4968198683	0.0707069068
92	0.9200000000	0.4968198683	0.0707069068	0.5031801317	0.4968198683	0.5031801317	0.4968198683	0.0000000000	0.0351285961	-0.2511749148	0.2511749148	0.0000000000	0.0376403453	0.0000000000	0.0376403453	0.4971962717	0.0732186559
93	0.9300000000	0.4971962717	0.0732186559	0.5028037283	0.4971962717	0.5028037283	0.4971962717	0.0000000000	0.0364040427	-0.2212650548	0.2212650548	0.0000000000	0.0386166933	0.0000000000	0.0386166933	0.4975824386	0.0754313065
94	0.9400000000	0.4975824386	0.0754313065	0.5024175614	0.4975824386	0.5024175614	0.4975824386	0.0000000000	0.0375332934	-0.1906025976	0.1906025976	0.0000000000	0.0394393194	0.0000000000	0.0394393194	0.4979768318	0.0773373324
95	0.9500000000	0.4979768318	0.0773373324	0.5020231682	0.4979768318	0.5020231682	0.4979768318	0.0000000000	0.0385121998	-0.1593112617	0.1593112617	0.0000000000	0.0401053124	0.0000000000	0.0401053124	0.4983778850	0.0789304451
96	0.9600000000	0.4983778850	0.0789304451	0.5016221150	0.4983778850	0.5016221150	0.4983778850	0.0000000000	0.0393371883	-0.1275167249	0.1275167249	0.0000000000	0.0406123555	0.0000000000	0.0406123555	0.4987840085	0.0802056123
97	0.9700000000	0.4987840085	0.0802056123	0.5012159915	0.4987840085	0.5012159915	0.4987840085	0.0000000000	0.0400052768	-0.0953461254	0.0953461254	0.0000000000	0.0409587381	0.0000000000	0.0409587381	0.4991935959	0.0811590736
